"id","month","year","castle_192_consumption_kwh","med_school_consumption_kwh","cumberland_d401_d404_consumption_kwh"
100,Jan,2022,0.0,590514.0,13215.254237288136
101,Feb,2022,28300.0,401318.0,36448.30508474576
102,Mar,2022,70000.0,370932.0,103089.83050847458
103,Apr,2022,40900.0,738977.0,103089.83050847458
104,May,2022,68500.0,831502.0,163781.3559322034
105,Jun,2022,74000.0,969359.0,163781.3559322034
106,Jul,2022,97100.0,1312107.0,251062.7118644068
107,Aug,2022,76500.0,795003.0,203389.83050847458
108,Sep,2022,73900.0,934426.0,166368.64406779662
109,Oct,2022,68800.0,954776.0,177627.9661016949
110,Nov,2022,33400.0,765854.0,45924.576271186445
111,Dec,2022,16900.0,766556.0,15254.237288135593
112,Jan,2023,17800.0,515654.0,19491.525423728814
113,Feb,2023,17800.0,478983.0,53989.83050847458
114,Mar,2023,30000.0,583912.0,68703.38983050847
115,Apr,2023,37900.0,607081.0,123746.61016949153
116,May,2023,47900.0,768523.0,168138.98305084746
117,Jun,2023,52500.0,883035.0,180145.76271186443
118,Jul,2023,66400.0,1103702.0,201936.4406779661
119,Aug,2023,73700.0,1094251.0,235916.10169491527
120,Sep,2023,46500.0,928589.0,173053.38983050847
121,Oct,2023,44300.0,744957.0,158149.1525423729
122,Nov,2023,25500.0,733523.0,114005.93220338984
123,Dec,2023,11900.0,419260.0,42788.98305084746
124,Jan,2024,3400.0,780914.0,11666.101694915254
125,Feb,2024,18400.0,541965.0,39129.661016949154
126,Mar,2024,41900.0,744751.0,111105.08474576272
127,Apr,2024,44000.0,693855.0,109420.33898305085
128,May,2024,66300.0,924463.0,184469.49152542374
129,Jun,2024,61600.0,874541.0,126818.64406779662
130,Jul,2024,66000.0,893551.0,156921.18644067796
131,Aug,2024,71500.0,983615.0,190316.9491525424
132,Sep,2024,53800.0,808321.0,189910.16949152542
133,Oct,2024,48100.0,770626.0,113948.30508474576
